R1_USB,5.70,14.00,0.00,5K1,ERA-1AEB3401C_0201
R2,-16.25,11.68,270.00,0,CPF0201D7K68C1_0201
R2_EP_DR,0.47,2.03,270.00,10K,CPF0201D7K68C1_0201
R2_USB,-5.60,14.10,180.00,5K1,ERA-1AEB3401C_0201
R3,0.90,-11.19,90.00,0,CPF0201D7K68C1_0201
R4,-16.26,10.93,270.00,0,CPF0201D7K68C1_0201
R5,7.93,-13.08,270.00,10K,CPF0201D7K68C1_0201
R7,-14.10,-12.80,180.00,10K,CPF0201D7K68C1_0201
R8,-3.10,-12.80,180.00,10K,CPF0201D7K68C1_0201
R9,-12.42,13.73,270.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,-1.81,2.15,180.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,1.72,2.04,270.00,2.2,CPF0201D7K68C1_0201
SJ1,2.17,-1.50,90.00,JUMPER_SJ,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,-11.00,-13.83,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,0.00,-13.83,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,11.10,-13.83,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,14.08,16.04,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,-14.91,15.93,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,-8.72,11.87,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,21.32,9.01,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,-19.35,-15.04,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,-16.92,-15.74,90.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET\,19.38,14.30,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,-19.82,14.74,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,-17.49,16.00,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,21.06,11.83,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,16.74,15.61,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,9.52,3.95,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,-6.75,10.70,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,-15.88,8.48,180.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,13.32,-4.27,180.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,-11.54,9.79,180.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,8.13,-9.28,270.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,19.62,-6.40,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
